,date_time,id,number,sub_id
361,2017/1/1 0:16,960111FF01,24.92,FF10DB
1492,2017/1/1 1:16,960111FF01,23.959999,FF10DB
2526,2017/1/1 2:16,960111FF01,22.639999,FF10DB
3687,2017/1/1 3:17,960111FF01,23.040001,FF10DB
4805,2017/1/1 4:17,960111FF01,22.280001000000002,FF10DB
5936,2017/1/1 5:17,960111FF01,23.120001000000002,FF10DB
7122,2017/1/1 6:17,960111FF01,20.76,FF10DB
8306,2017/1/1 7:18,960111FF01,19.0,FF10DB
9472,2017/1/1 8:18,960111FF01,37.759997999999996,FF10DB
10775,2017/1/1 9:18,960111FF01,52.119999,FF10DB
12030,2017/1/1 10:18,960111FF01,54.52,FF10DB
13344,2017/1/1 11:18,960111FF01,55.240002000000004,FF10DB
14641,2017/1/1 12:18,960111FF01,54.360001000000004,FF10DB
15879,2017/1/1 13:18,960111FF01,54.52,FF10DB
17196,2017/1/1 14:19,960111FF01,55.240002000000004,FF10DB
18409,2017/1/1 15:19,960111FF01,57.48,FF10DB
19594,2017/1/1 16:19,960111FF01,55.200001,FF10DB
20713,2017/1/1 17:19,960111FF01,56.279999,FF10DB
21866,2017/1/1 18:20,960111FF01,65.599998,FF10DB
23007,2017/1/1 19:20,960111FF01,58.360001000000004,FF10DB
24016,2017/1/1 20:21,960111FF01,58.32,FF10DB
25137,2017/1/1 21:21,960111FF01,48.639998999999996,FF10DB
26187,2017/1/1 22:21,960111FF01,33.200001,FF10DB
27248,2017/1/1 23:21,960111FF01,29.440001000000002,FF10DB
28286,2017/1/2 0:22,960111FF01,25.200001,FF10DB
29268,2017/1/2 1:22,960111FF01,23.08,FF10DB
30291,2017/1/2 2:22,960111FF01,23.879998999999998,FF10DB
31318,2017/1/2 3:22,960111FF01,22.16,FF10DB
32334,2017/1/2 4:23,960111FF01,23.0,FF10DB
33314,2017/1/2 5:23,960111FF01,22.76,FF10DB
34236,2017/1/2 6:23,960111FF01,21.639999,FF10DB
35249,2017/1/2 7:24,960111FF01,18.52,FF10DB
36236,2017/1/2 8:24,960111FF01,39.720001,FF10DB
37341,2017/1/2 9:24,960111FF01,50.040001000000004,FF10DB
38352,2017/1/2 10:25,960111FF01,55.48,FF10DB
39469,2017/1/2 11:25,960111FF01,54.400002,FF10DB
40603,2017/1/2 12:25,960111FF01,51.880001,FF10DB
41831,2017/1/2 13:25,960111FF01,53.439999,FF10DB
42916,2017/1/2 14:26,960111FF01,54.84,FF10DB
43811,2017/1/2 15:26,960111FF01,53.279999,FF10DB
44671,2017/1/2 16:26,960111FF01,56.32,FF10DB
45654,2017/1/2 17:26,960111FF01,55.0,FF10DB
46608,2017/1/2 18:27,960111FF01,60.200001,FF10DB
47539,2017/1/2 19:27,960111FF01,61.080002,FF10DB
48442,2017/1/2 20:27,960111FF01,51.599998,FF10DB
49456,2017/1/2 21:27,960111FF01,30.52,FF10DB
50477,2017/1/2 22:27,960111FF01,26.24,FF10DB
51374,2017/1/2 23:27,960111FF01,26.280001000000002,FF10DB
52246,2017/1/3 0:28,960111FF01,25.719998999999998,FF10DB
53159,2017/1/3 1:28,960111FF01,23.0,FF10DB
54047,2017/1/3 2:28,960111FF01,22.639999,FF10DB
54826,2017/1/3 3:28,960111FF01,22.360001,FF10DB
55665,2017/1/3 4:28,960111FF01,22.08,FF10DB
56539,2017/1/3 5:28,960111FF01,23.040001,FF10DB
57419,2017/1/3 6:28,960111FF01,28.48,FF10DB
58320,2017/1/3 7:29,960111FF01,26.08,FF10DB
59291,2017/1/3 8:29,960111FF01,51.720001,FF10DB
60380,2017/1/3 9:29,960111FF01,63.439999,FF10DB
61439,2017/1/3 10:29,960111FF01,63.84,FF10DB
62631,2017/1/3 11:29,960111FF01,61.240002000000004,FF10DB
63578,2017/1/3 12:29,960111FF01,58.720001,FF10DB
64550,2017/1/3 13:30,960111FF01,61.080002,FF10DB
65604,2017/1/3 14:30,960111FF01,67.720001,FF10DB
66666,2017/1/3 15:30,960111FF01,63.48,FF10DB
67792,2017/1/3 16:30,960111FF01,64.400002,FF10DB
68822,2017/1/3 17:30,960111FF01,60.799999,FF10DB
69775,2017/1/3 18:30,960111FF01,65.720001,FF10DB
71014,2017/1/3 19:30,960111FF01,65.440002,FF10DB
72221,2017/1/3 20:31,960111FF01,60.560001,FF10DB
73798,2017/1/3 21:31,960111FF01,37.52,FF10DB
74949,2017/1/3 22:31,960111FF01,29.879998999999998,FF10DB
76129,2017/1/3 23:31,960111FF01,30.52,FF10DB
77170,2017/1/4 0:31,960111FF01,28.559998999999998,FF10DB
78173,2017/1/4 1:32,960111FF01,26.440001000000002,FF10DB
79174,2017/1/4 2:32,960111FF01,26.52,FF10DB
80151,2017/1/4 3:32,960111FF01,27.120001000000002,FF10DB
81124,2017/1/4 4:32,960111FF01,25.120001000000002,FF10DB
82028,2017/1/4 5:32,960111FF01,24.84,FF10DB
83026,2017/1/4 6:33,960111FF01,27.4,FF10DB
84002,2017/1/4 7:33,960111FF01,23.16,FF10DB
85144,2017/1/4 8:33,960111FF01,59.759997999999996,FF10DB
86227,2017/1/4 9:33,960111FF01,62.360001000000004,FF10DB
87339,2017/1/4 10:34,960111FF01,68.68,FF10DB
88543,2017/1/4 11:34,960111FF01,64.91999799999999,FF10DB
89614,2017/1/4 12:34,960111FF01,57.639998999999996,FF10DB
90624,2017/1/4 13:34,960111FF01,58.32,FF10DB
91709,2017/1/4 14:34,960111FF01,62.560001,FF10DB
92924,2017/1/4 15:35,960111FF01,60.52,FF10DB
94230,2017/1/4 16:37,960111FF01,65.879997,FF10DB
95374,2017/1/4 17:38,960111FF01,64.839996,FF10DB
96562,2017/1/4 18:38,960111FF01,65.040001,FF10DB
97711,2017/1/4 19:38,960111FF01,61.959998999999996,FF10DB
98821,2017/1/4 20:38,960111FF01,58.16,FF10DB
99915,2017/1/4 21:38,960111FF01,28.16,FF10DB
101060,2017/1/4 22:39,960111FF01,29.360001,FF10DB
102135,2017/1/4 23:39,960111FF01,28.92,FF10DB
103112,2017/1/5 0:39,960111FF01,26.52,FF10DB
104144,2017/1/5 1:39,960111FF01,27.4,FF10DB
