,date_time,id,number
364,2017/1/1 0:16,960112FF01031011,18.959999
1495,2017/1/1 1:16,960112FF01031011,12.44
2529,2017/1/1 2:16,960112FF01031011,1.6
3690,2017/1/1 3:17,960112FF01031011,9.48
4808,2017/1/1 4:17,960112FF01031011,19.24
5939,2017/1/1 5:17,960112FF01031011,9.56
7125,2017/1/1 6:17,960112FF01031011,20.76
8309,2017/1/1 7:18,960112FF01031011,16.959999
9475,2017/1/1 8:18,960112FF01031011,2.96
10778,2017/1/1 9:18,960112FF01031011,17.360001
12033,2017/1/1 10:18,960112FF01031011,11.24
13347,2017/1/1 11:18,960112FF01031011,26.879998999999998
14644,2017/1/1 12:18,960112FF01031011,2.72
15882,2017/1/1 13:18,960112FF01031011,19.24
17199,2017/1/1 14:19,960112FF01031011,12.64
18412,2017/1/1 15:19,960112FF01031011,2.84
19597,2017/1/1 16:19,960112FF01031011,20.879998999999998
20716,2017/1/1 17:19,960112FF01031011,19.84
21869,2017/1/1 18:20,960112FF01031011,2.88
23010,2017/1/1 19:20,960112FF01031011,3.52
24019,2017/1/1 20:21,960112FF01031011,19.120001000000002
25140,2017/1/1 21:21,960112FF01031011,0.0
26190,2017/1/1 22:21,960112FF01031011,20.719998999999998
27251,2017/1/1 23:21,960112FF01031011,2.92
28289,2017/1/2 0:22,960112FF01031011,1.92
29271,2017/1/2 1:22,960112FF01031011,20.4
30294,2017/1/2 2:22,960112FF01031011,2.56
31321,2017/1/2 3:22,960112FF01031011,11.04
32337,2017/1/2 4:23,960112FF01031011,11.32
33317,2017/1/2 5:23,960112FF01031011,3.12
34239,2017/1/2 6:23,960112FF01031011,0.0
35252,2017/1/2 7:24,960112FF01031011,28.360001
36239,2017/1/2 8:24,960112FF01031011,2.32
37344,2017/1/2 9:24,960112FF01031011,10.24
38355,2017/1/2 10:25,960112FF01031011,26.559998999999998
39472,2017/1/2 11:25,960112FF01031011,8.64
40606,2017/1/2 12:25,960112FF01031011,21.120001000000002
41834,2017/1/2 13:25,960112FF01031011,19.52
42919,2017/1/2 14:26,960112FF01031011,11.88
43814,2017/1/2 15:26,960112FF01031011,28.4
44674,2017/1/2 16:26,960112FF01031011,2.92
45657,2017/1/2 17:26,960112FF01031011,26.959999
46611,2017/1/2 18:27,960112FF01031011,11.28
47542,2017/1/2 19:27,960112FF01031011,9.16
48448,2017/1/2 20:27,960112FF01031011,11.72
49469,2017/1/2 21:28,960112FF01031011,17.48
50490,2017/1/2 22:28,960112FF01031011,2.12
51390,2017/1/2 23:28,960112FF01031011,26.52
52259,2017/1/3 0:28,960112FF01031011,2.12
53165,2017/1/3 1:28,960112FF01031011,19.879998999999998
54061,2017/1/3 2:29,960112FF01031011,12.32
54836,2017/1/3 3:29,960112FF01031011,0.0
55681,2017/1/3 4:29,960112FF01031011,3.56
56556,2017/1/3 5:29,960112FF01031011,2.68
57430,2017/1/3 6:29,960112FF01031011,19.360001
58338,2017/1/3 7:29,960112FF01031011,11.36
59313,2017/1/3 8:30,960112FF01031011,18.76
60389,2017/1/3 9:30,960112FF01031011,20.639999
61463,2017/1/3 10:30,960112FF01031011,18.360001
62636,2017/1/3 11:30,960112FF01031011,2.88
63593,2017/1/3 12:31,960112FF01031011,19.559998999999998
64570,2017/1/3 13:31,960112FF01031011,21.639999
65621,2017/1/3 14:31,960112FF01031011,18.48
66680,2017/1/3 15:31,960112FF01031011,22.08
67812,2017/1/3 16:31,960112FF01031011,9.24
68845,2017/1/3 17:31,960112FF01031011,11.64
69806,2017/1/3 18:32,960112FF01031011,20.6
71034,2017/1/3 19:32,960112FF01031011,11.84
72241,2017/1/3 20:32,960112FF01031011,3.8
73816,2017/1/3 21:32,960112FF01031011,2.6
74970,2017/1/3 22:32,960112FF01031011,20.92
76156,2017/1/3 23:32,960112FF01031011,36.639998999999996
77187,2017/1/4 0:33,960112FF01031011,11.32
78198,2017/1/4 1:33,960112FF01031011,27.799999
79185,2017/1/4 2:33,960112FF01031011,2.36
80167,2017/1/4 3:33,960112FF01031011,0.92
81138,2017/1/4 4:33,960112FF01031011,20.84
82039,2017/1/4 5:33,960112FF01031011,10.52
83042,2017/1/4 6:34,960112FF01031011,19.24
84015,2017/1/4 7:34,960112FF01031011,2.32
85164,2017/1/4 8:34,960112FF01031011,11.84
86241,2017/1/4 9:34,960112FF01031011,20.48
87345,2017/1/4 10:34,960112FF01031011,9.24
88562,2017/1/4 11:34,960112FF01031011,22.4
89640,2017/1/4 12:35,960112FF01031011,22.360001
90637,2017/1/4 13:35,960112FF01031011,22.959999
91726,2017/1/4 14:35,960112FF01031011,3.64
92927,2017/1/4 15:35,960112FF01031011,29.24
94233,2017/1/4 16:37,960112FF01031011,12.6
95377,2017/1/4 17:38,960112FF01031011,18.08
96565,2017/1/4 18:38,960112FF01031011,12.92
97714,2017/1/4 19:38,960112FF01031011,20.959999
98824,2017/1/4 20:38,960112FF01031011,12.0
99918,2017/1/4 21:38,960112FF01031011,12.44
101063,2017/1/4 22:39,960112FF01031011,18.08
102138,2017/1/4 23:39,960112FF01031011,12.32
103115,2017/1/5 0:39,960112FF01031011,20.639999
104147,2017/1/5 1:39,960112FF01031011,2.76
105126,2017/1/5 2:41,960112FF01031011,12.32
106091,2017/1/5 3:41,960112FF01031011,18.639999
107053,2017/1/5 4:41,960112FF01031011,11.56
108025,2017/1/5 5:41,960112FF01031011,20.08
108990,2017/1/5 6:42,960112FF01031011,11.32
110105,2017/1/5 7:42,960112FF01031011,29.08
111244,2017/1/5 8:42,960112FF01031011,11.64
112316,2017/1/5 9:42,960112FF01031011,2.88
113383,2017/1/5 10:42,960112FF01031011,28.52
114568,2017/1/5 11:42,960112FF01031011,13.32
115587,2017/1/5 12:42,960112FF01031011,30.76
116691,2017/1/5 13:45,960112FF01031011,13.4
117744,2017/1/5 14:45,960112FF01031011,14.16
118837,2017/1/5 15:45,960112FF01031011,13.12
119933,2017/1/5 16:46,960112FF01031011,22.360001
121014,2017/1/5 17:46,960112FF01031011,19.040001
122031,2017/1/5 18:46,960112FF01031011,22.120001000000002
123112,2017/1/5 19:46,960112FF01031011,22.76
124167,2017/1/5 20:46,960112FF01031011,12.08
125217,2017/1/5 21:47,960112FF01031011,22.32
126206,2017/1/5 22:47,960112FF01031011,21.799999
127178,2017/1/5 23:47,960112FF01031011,11.6
128096,2017/1/6 0:47,960112FF01031011,38.919998
129063,2017/1/6 1:47,960112FF01031011,11.84
130004,2017/1/6 2:47,960112FF01031011,13.16
130886,2017/1/6 3:47,960112FF01031011,21.48
131845,2017/1/6 4:48,960112FF01031011,12.0
132720,2017/1/6 5:48,960112FF01031011,19.32
133751,2017/1/6 6:48,960112FF01031011,20.4
134755,2017/1/6 7:48,960112FF01031011,3.0
135813,2017/1/6 8:48,960112FF01031011,12.4
136968,2017/1/6 9:48,960112FF01031011,11.84
138115,2017/1/6 10:49,960112FF01031011,28.440001000000002
139240,2017/1/6 11:49,960112FF01031011,12.64
140270,2017/1/6 12:49,960112FF01031011,18.16
141247,2017/1/6 13:49,960112FF01031011,3.52
142255,2017/1/6 14:49,960112FF01031011,3.52
143252,2017/1/6 15:50,960112FF01031011,22.24
144228,2017/1/6 16:50,960112FF01031011,12.24
145279,2017/1/6 17:50,960112FF01031011,18.120001000000002
146307,2017/1/6 18:50,960112FF01031011,22.48
147313,2017/1/6 19:50,960112FF01031011,12.52
148365,2017/1/6 20:50,960112FF01031011,21.32
149388,2017/1/6 21:50,960112FF01031011,20.719998999999998
150428,2017/1/6 22:50,960112FF01031011,27.84
151419,2017/1/6 23:51,960112FF01031011,12.6
152484,2017/1/7 0:51,960112FF01031011,11.92
153501,2017/1/7 1:51,960112FF01031011,22.559998999999998
154431,2017/1/7 2:51,960112FF01031011,21.48
155364,2017/1/7 3:51,960112FF01031011,18.52
156249,2017/1/7 4:52,960112FF01031011,12.4
157202,2017/1/7 5:52,960112FF01031011,11.76
158133,2017/1/7 6:52,960112FF01031011,21.559998999999998
159100,2017/1/7 7:52,960112FF01031011,3.0
160126,2017/1/7 8:53,960112FF01031011,28.32
161113,2017/1/7 9:53,960112FF01031011,3.32
162102,2017/1/7 10:53,960112FF01031011,22.040001
163138,2017/1/7 11:53,960112FF01031011,19.6
164124,2017/1/7 12:53,960112FF01031011,3.52
165100,2017/1/7 13:53,960112FF01031011,31.0
166104,2017/1/7 14:54,960112FF01031011,12.2
167193,2017/1/7 15:54,960112FF01031011,31.16
168334,2017/1/7 16:54,960112FF01031011,27.16
169371,2017/1/7 17:54,960112FF01031011,12.72
170348,2017/1/7 18:54,960112FF01031011,20.92
171399,2017/1/7 19:54,960112FF01031011,3.04
172396,2017/1/7 20:54,960112FF01031011,21.68
173433,2017/1/7 21:55,960112FF01031011,27.08
174455,2017/1/7 22:55,960112FF01031011,2.92
175604,2017/1/8 0:01,960112FF01031011,18.639999
176571,2017/1/8 1:02,960112FF01031011,2.8
177511,2017/1/8 2:03,960112FF01031011,30.4
178407,2017/1/8 3:03,960112FF01031011,11.48
179281,2017/1/8 4:03,960112FF01031011,2.88
180147,2017/1/8 5:03,960112FF01031011,19.32
181072,2017/1/8 6:04,960112FF01031011,30.120001000000002
181943,2017/1/8 7:04,960112FF01031011,20.4
182888,2017/1/8 8:04,960112FF01031011,29.08
183938,2017/1/8 9:04,960112FF01031011,12.12
184963,2017/1/8 10:04,960112FF01031011,9.84
186007,2017/1/8 11:04,960112FF01031011,21.0
187051,2017/1/8 12:05,960112FF01031011,18.4
188084,2017/1/8 13:05,960112FF01031011,30.68
189145,2017/1/8 14:05,960112FF01031011,21.040001
190145,2017/1/8 15:05,960112FF01031011,9.68
191210,2017/1/8 16:05,960112FF01031011,21.200001
192282,2017/1/8 17:06,960112FF01031011,19.120001000000002
